tipo=Acquisizione  
data=02/12/2024
ora=14:44:09
sps=1000
etichetta=
note=
numero canali=24
shot x=
shot y=
shot z=
canale;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24
 210;7;-1176;-340;-146;-60;-39;-1;0;75;25;137;-3;-107;-2;16;38;-4;-93;-74;-4;216;197;234;8
 211;7;-1258;-271;-127;-85;52;-2;0;51;7;119;-2;-60;-2;-14;64;-4;-75;-89;3;210;137;238;8
 212;9;-848;-81;-77;-96;122;-2;0;24;-5;88;-2;-19;-1;-43;83;-4;-54;-99;2;182;63;232;7
 213;9;-112;147;-23;-97;148;-1;0;3;-15;51;-1;12;0;-65;91;-3;-30;-102;-9;134;-20;220;4
 214;9;670;323;12;-101;123;0;-1;-3;-24;14;0;34;2;-73;92;1;-8;-99;-24;73;-94;203;-1
 215;8;1199;370;5;-112;59;1;0;6;-36;-21;1;46;2;-66;82;3;14;-89;-38;2;-154;175;-5
 216;6;1282;263;-45;-126;-14;0;0;27;-48;-48;0;57;2;-46;70;2;33;-72;-49;-71;-188;136;-4
 217;7;887;32;-122;-141;-62;0;-1;48;-54;-62;1;71;2;-22;57;2;51;-46;-53;-140;-198;85;-3
 218;7;155;-239;-199;-151;-64;1;0;63;-55;-64;1;89;3;4;46;2;65;-15;-50;-199;-184;26;-4
 219;6;-648;-454;-243;-149;-17;1;0;65;-46;-57;1;107;3;22;38;4;73;21;-38;-236;-155;-34;-6
 220;5;-1238;-535;-234;-131;58;1;0;53;-23;-39;1;125;3;31;30;3;76;57;-19;-238;-116;-88;-6
 221;3;-1410;-456;-170;-99;129;0;0;29;7;-16;0;134;3;27;19;3;70;88;2;-198;-74;-129;-7
 222;3;-1101;-247;-70;-51;162;1;0;2;40;10;0;134;2;12;1;2;56;109;24;-121;-36;-151;-5
 223;3;-421;16;36;3;136;1;0;-17;70;38;-1;122;1;-8;-24;0;35;118;41;-20;-1;-154;-3
 224;5;392;242;114;61;55;0;0;-22;91;62;-2;100;-1;-28;-56;-2;9;111;56;90;28;-138;3
 225;5;1060;356;140;112;-58;0;1;-10;101;83;-3;72;-3;-41;-86;-3;-17;92;63;185;52;-110;6
 226;6;1355;326;109;149;-169;0;1;18;100;98;-3;43;-2;-43;-113;-3;-39;62;66;251;71;-75;4
 227;6;1193;171;38;168;-239;0;1;53;92;106;-2;18;-1;-34;-130;-3;-54;26;60;272;82;-37;3
 228;6;644;-37;-38;167;-247;0;0;88;81;106;-3;-2;-3;-19;-134;-3;-60;-13;47;245;87;-2;5
 229;7;-77;-205;-83;149;-188;-2;0;112;72;96;-3;-14;-3;-2;-124;-5;-56;-50;30;175;88;30;7
 230;8;-696;-263;-74;120;-88;-1;0;119;66;81;-2;-21;-2;9;-100;-4;-45;-82;7;72;83;54;7
 231;9;-979;-180;-7;86;22;-1;-1;106;61;60;-2;-24;-2;13;-67;-5;-30;-104;-18;-44;77;70;8
 232;9;-821;14;104;50;106;-2;0;76;53;37;-2;-25;-2;11;-27;-4;-17;-115;-42;-154;67;78;7
 233;9;-275;252;221;18;134;-2;0;27;37;13;0;-26;-1;9;11;-2;-6;-114;-64;-242;53;78;4
 234;8;463;444;304;-8;105;0;0;-29;12;-10;0;-26;1;10;44;1;0;-99;-84;-294;37;74;-2
 235;7;1129;518;325;-28;35;0;0;-78;-17;-30;1;-27;2;19;67;3;2;-77;-97;-300;19;65;-4
 236;8;1484;438;271;-45;-40;0;-1;-109;-47;-46;1;-27;2;35;78;1;0;-49;-103;-259;-2;55;-3
 237;7;1399;225;156;-57;-89;-1;-1;-117;-72;-57;1;-24;2;59;80;2;-2;-19;-102;-180;-24;46;-2
 238;7;902;-49;15;-66;-92;0;0;-100;-84;-63;2;-17;2;80;74;2;-2;9;-91;-72;-46;38;-4
 239;6;165;-290;-110;-68;-45;1;0;-65;-82;-65;2;-9;2;94;66;3;0;33;-73;49;-66;26;-5
 240;6;-552;-420;-190;-61;30;0;-1;-24;-69;-64;1;1;2;98;64;2;8;52;-47;166;-84;10;-5
 241;5;-996;-401;-207;-44;106;1;0;8;-47;-61;1;8;2;89;69;3;21;66;-17;262;-99;-11;-5
 242;4;-1012;-249;-168;-20;149;2;0;20;-23;-57;-1;13;1;72;83;2;39;76;15;324;-107;-36;-4
 243;5;-599;-28;-96;9;143;1;0;6;-3;-52;-1;15;1;49;104;0;58;81;47;339;-106;-61;-1
 244;6;93;175;-26;39;88;0;0;-28;7;-47;-2;14;-1;31;128;-3;80;83;76;307;-97;-84;5
 245;7;813;279;16;63;8;0;1;-75;5;-40;-2;9;-2;21;150;-3;102;82;100;231;-80;-98;5
 246;7;1299;241;14;72;-63;0;1;-119;-10;-35;-2;3;-2;22;163;-3;120;77;116;121;-59;-102;4
 247;7;1373;71;-28;66;-99;1;0;-147;-34;-30;-2;-4;0;34;163;-2;132;75;123;-8;-37;-98;4
 248;7;1004;-174;-89;45;-87;0;0;-153;-61;-27;-3;-9;-2;48;146;-4;136;75;121;-137;-13;-86;6
 249;8;317;-404;-139;13;-33;0;0;-135;-88;-28;-3;-13;-3;61;117;-4;132;76;111;-243;8;-68;8
 250;8;-446;-532;-155;-20;36;-1;0;-95;-107;-30;-2;-16;-2;68;75;-4;121;81;99;-311;28;-48;7
